date,epu_index,epu_index_smooth,epu_count,total_count,epu_ratio,avg_confidence,Volatility,TurnoverRate,Interest,EPU_Baker,EPU_Deepseek
2020-01-01,100.0,,1,1,1.0,0.3215989927156254,0.030438971230727176,0.7016400424282954,0.0034052780038177953,128.05061236631067,5.595
2020-02-01,0.0,66.66666666666667,0,1,0.0,0.9180616266615889,0.019957462929263203,0.3678925748441564,0.004618561732285646,138.7855497685365,0.0
2020-03-01,100.0,33.333333333333336,1,1,1.0,0.3876195191064244,0.030589945615816634,0.6996866104109287,0.003259774593606738,83.14560721251551,5.595
2020-04-01,0.0,33.333333333333336,0,1,0.0,0.9898711578908407,0.021618757086842414,0.5056883623387981,0.004370740529508128,75.7171652226889,0.0
2020-05-01,0.0,0.0,0,1,0.0,0.7745811993147023,0.01986157385571105,0.4765043903498339,0.0037803487251704946,130.98911058372414,0.0
2020-06-01,0.0,33.333333333333336,0,1,0.0,0.8394399264580203,0.01986159027348521,0.6053642192645166,0.004277711434813022,124.24040381221278,0.0
2020-07-01,100.0,33.333333333333336,1,1,1.0,0.49416109524503204,0.03152146989322333,0.7703781657210443,0.003085860607022123,127.76891404923427,5.595
2020-08-01,0.0,33.333333333333336,0,1,0.0,0.9103703017646602,0.020863161959587297,0.6373246022920497,0.004086895461584892,125.72430990012647,0.0
2020-09-01,0.0,0.0,0,1,0.0,0.9153865746633427,0.019626252844499436,0.46027483805816594,0.004407391240362697,94.93012196786248,0.0
2020-10-01,0.0,0.0,0,1,0.0,0.8284324595811517,0.020638287274020353,0.5132753527953083,0.004690059524602971,122.2984745300473,0.0
2020-11-01,0.0,0.0,0,1,0.0,0.8844295217018555,0.019632309537621927,0.5773229335207861,0.005431127046800967,124.12303781417764,0.0
2020-12-01,0.0,33.333333333333336,0,1,0.0,0.7734011999567916,0.01962999747686413,0.6417511030926657,0.004575323002611621,93.90032107442616,0.0
2021-01-01,100.0,66.66666666666667,1,1,1.0,0.35797684981408734,0.030184219349281977,0.6193607896869202,0.0033859930606468893,176.22736387320066,5.595
2021-02-01,100.0,66.66666666666667,1,1,1.0,0.3844031234935118,0.028028976833058144,0.6487123158050675,0.003219994907402424,134.4691161662116,5.595
2021-03-01,0.0,66.66666666666667,0,1,0.0,0.7336618443689404,0.018370809397921354,0.433563092979827,0.003528648488546181,79.59175869913774,0.0
2021-04-01,100.0,33.333333333333336,1,1,1.0,0.36726368026516215,0.02937996954847497,0.5476575510633821,0.003243960927560899,139.95073679787285,5.595
2021-05-01,0.0,33.333333333333336,0,1,0.0,1.0,0.019082896110099962,0.6254491726198496,0.004518149201166215,86.09041350839755,0.0
2021-06-01,0.0,0.0,0,1,0.0,0.9213687648625202,0.020409974563029662,0.6798205932375121,0.005719655152438345,138.94340172749077,0.0
2021-07-01,0.0,33.333333333333336,0,1,0.0,0.7609635949851614,0.019187703154913176,0.5369955782223964,0.004391853613805141,150.08873098543933,0.0
2021-08-01,100.0,66.66666666666667,1,1,1.0,0.32954844848015175,0.02852995337638065,0.7676315032606517,0.0034079915364523135,95.63365898830665,5.595
2021-09-01,100.0,66.66666666666667,1,1,1.0,0.3391099022457888,0.031407905846637496,0.7034418159762126,0.003239861980432886,149.15541241618763,5.595
2021-10-01,0.0,66.66666666666667,0,1,0.0,0.9093145447560093,0.019869950929947852,0.4796846149199173,0.0039036950773859358,127.71429142331215,0.0
2021-11-01,100.0,33.333333333333336,1,1,1.0,0.5235737322897315,0.030009785282403865,0.7034177740222907,0.0038286292725430177,144.91593333869267,5.595
2021-12-01,0.0,33.333333333333336,0,1,0.0,0.7665497128942577,0.01867097904422093,0.6980002470270267,0.004864000612539089,172.2346530948356,0.0
2022-01-01,0.0,0.0,0,1,0.0,0.9926674254189229,0.019551344505909205,0.5406139864694346,0.0048835500697172254,107.96922013513108,0.0
